Codigo,Area,Quartos,Banheiros,Suites,Vagas,Condominio,Endereco,IPTU,Titulo,Preco
192,185m2,3,4,2,4,2.500,"Rua Sebastião Fabiano Dias, 37",891,apartamento para alugar no belvedere,R$ 4.800
195,75m2,2,2,1,1,394,"Rua Professor Estevão Pinto, 846",149,apartamento para alugar no serra,R$ 1.900
197,100m2,3,2,1,1,722,"Rua Vinícius De Morais, 86",232,apartamento para alugar no luxemburgo,R$ 1.300
198,130m2,4,2,1,3,944,"Avenida Professor Mário Werneck, 2368",253,apartamento para alugar no buritis,R$ 1.000
201,50m2,2,1,0,1,225,"Rua Pastor Achilles Barbosa, 381",60,apartamento para alugar no palmares,R$ 800
202,106m2,3,2,1,1,438,"Rua Donato Da Fonseca, 737",230,apartamento para alugar no cidade jardim,R$ 1.800
204,75m2,2,2,1,1,531,"Avenida Artur Bernardes, 230",213,apartamento para alugar no vila paris,R$ 1.700
205,110m2,3,3,2,1,450,"Rua Buenos Aires, 116",149,apartamento para alugar no sion,R$ 2.100
206,55m2,2,1,0,1,257,"Rua Célio De Castro, 482",69,apartamento para alugar no floresta,R$ 1.100
207,150m2,4,2,1,2,1.580,"Rua Professor Raimundo Cândido, 130",476,apartamento para alugar no belvedere,R$ 3.900
209,125m2,4,2,1,3,944,"Avenida Professor Mário Werneck, 2368",253,apartamento para alugar no buritis,R$ 1.500
211,65m2,2,2,1,1,190,"Rua Conde Ribeiro Do Vale, 755",94,apartamento para alugar no sagrada familia,R$ 1.100
214,80m2,3,2,1,1,500,"Rua Chicago, 117",123,apartamento para alugar no sion,R$ 1.300
216,138m2,4,4,2,3,1.800,"Rua Alvarenga Peixoto, 1003",273,apartamento para alugar no santo agostinho,R$ 5.500
217,100m2,3,2,1,0,580,"Avenida Afonso Pena, 1735",120,apartamento para alugar no centro,R$ 1.500
220,70m2,2,1,0,1,530,"Rua Conde De Linhares, 819",163,apartamento para alugar no cidade jardim,R$ 1.250
223,80m2,3,2,1,2,496,"Rua Desembargador Jorge Fontana, 214",247,apartamento para alugar no belvedere,R$ 2.200
224,100m2,3,2,1,1,450,"Avenida Cristiano Machado, 1882",155,apartamento para alugar no cidade nova,R$ 1.700
225,65m2,2,2,1,2,292,"Rua Democrata, 300",98,apartamento para alugar no fernao dias,R$ 1.300
226,100m2,3,2,1,2,1.096,"Rua Caldas, 15",224,apartamento para alugar no sion,R$ 2.200
228,140m2,4,3,1,2,714,"Avenida Bandeirantes, 631",429,apartamento para alugar no mangabeiras,R$ 3.100
229,270m2,4,5,4,4,2.700,"Avenida Das Constelações, 385",189,apartamento para alugar no vale dos cristais,R$ 10.000
231,85m2,2,2,1,1,230,"Rua Professor Pimenta Da Veiga, 294",131,apartamento para alugar no cidade nova,R$ 1.200
232,65m2,2,1,0,1,396,"Rua Bernardo Vasconcelos, 2080",128,apartamento para alugar no ipiranga,R$ 1.100
233,75m2,3,2,1,1,270,"Rua Professor Lincoln Continentino, 485",127,apartamento para alugar no cidade nova,R$ 1.100
234,95m2,3,2,1,2,640,"Avenida Professor Mário Werneck, 1802",170,apartamento para alugar no buritis,R$ 1.500
235,80m2,3,1,0,1,250,"Rua Cândido Nogueira, 80",75,apartamento para alugar no grajau,R$ 1.250
236,65m2,2,1,0,1,200,"Rua Ciclópica, 60",N/D,apartamento para alugar no caicara,R$ 900
242,135m2,3,3,1,2,680,"Rua Engenheiro Amaro Lanari, 355",289,apartamento para alugar no sion,R$ 2.500
244,105m2,3,2,1,2,300,"Rua Camapuan, 455",116,apartamento para alugar no grajau,R$ 1.500
246,105m2,3,2,1,2,770,"Rua Da Groenlândia, 255",246,apartamento para alugar no sion,R$ 2.900
247,100m2,3,2,1,1,600,"Rua Geraldo Bicalho, 36",65,apartamento para alugar no nova suíssa,R$ 1.050
249,80m2,3,2,1,4,750,"Rua Equador, 244",306,apartamento para alugar no sao pedro,R$ 1.600
251,105m2,3,2,1,2,580,"Rua Pio Porto De Menezes, 120",228,apartamento para alugar no luxemburgo,R$ 1.850
